# 7daf4d34-e3c1-4827-9777-a6793ffc3440
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps
25.198622; -8.5; 2.21; 1.5707963; 0; 1; 0
25.398569; -8.5; 2.2950000000000004; 1.5707963; 0; 1; 0
25.598516; -8.5; 2.3800000000000003; 1.5707963; 0; 1; 0
25.798463; -8.5; 2.4650000000000003; 1.5707963; 0; 1; 0
25.99841; -8.5; 2.5500000000000003; 1.5707963; 0; 1; 0
26.198357; -8.5; 2.6350000000000002; 1.5707963; 0; 1; 0
26.398304; -8.5; 2.72; 1.5707963; 0; 1; 0
26.598251; -8.5; 2.805; 1.5707963; 0; 1; 0
26.798198; -8.5; 2.89; 1.5707963; 0; 1; 0
26.998145; -8.5; 2.975; 1.5707963; 0; 1; 0
27.198092; -8.5; 3.06; 1.5707963; 0; 1; 0
27.398039; -8.5; 3.145; 1.5707963; 0; 1; 0
27.597986; -8.5; 3.2300000000000004; 1.5707963; 0; 1; 0
27.797933; -8.5; 3.3150000000000004; 1.5707963; 0; 1; 0
27.99788; -8.5; 3.4000000000000004; 1.5707963; 0; 1; 0
28.197827; -8.5; 3.4850000000000003; 1.5707963; 0; 1; 0
28.397774; -8.5; 3.5700000000000003; 1.5707963; 0; 1; 0
28.597721; -8.5; 3.6550000000000002; 1.5707963; 0; 1; 0
28.797668; -8.5; 3.74; 1.5707963; 0; 1; 0
28.997615; -8.5; 3.825; 1.5707963; 0; 1; 0
29.197562; -8.5; 3.91; 1.5707963; 0; 1; 0
29.397509; -8.5; 3.995; 1.5707963; 0; 1; 0
29.597456; -8.5; 4.08; 1.5707963; 0; 1; 0
29.797403; -8.5; 4.165; 1.5707963; 0; 1; 0
29.99735; -8.5; 4.25; 1.5707963; 0; 1; 0
30.197297; -8.5; 4.335; 1.5707963; 0; 1; 0
30.397244; -8.5; 4.42; 1.5707963; 0; 1; 0
30.597191; -8.5; 4.505; 1.5707963; 0; 1; 0
30.797138; -8.5; 4.590000000000001; 1.5707963; 0; 1; 0
30.997085; -8.5; 4.675000000000001; 1.5707963; 0; 1; 0
31.197032; -8.5; 4.760000000000001; 1.5707963; 0; 1; 0
31.396979; -8.5; 4.845000000000001; 1.5707963; 0; 1; 0
31.596926; -8.5; 4.930000000000001; 1.5707963; 0; 1; 0
31.796873; -8.5; 5.015000000000001; 1.5707963; 0; 1; 0
31.99682; -8.5; 5.1000000000000005; 1.5707963; 0; 1; 0
32.196767; -8.5; 5.1850000000000005; 1.5707963; 0; 1; 0
32.396714; -8.5; 5.2700000000000005; 1.5707963; 0; 1; 0
32.596661; -8.5; 5.355; 1.5707963; 0; 1; 0
32.796608; -8.5; 5.44; 1.5707963; 0; 1; 0
32.996555; -8.5; 5.525; 1.5707963; 0; 1; 0
33.196502; -8.5; 5.61; 1.5707963; 0; 1; 0
33.396449; -8.5; 5.695; 1.5707963; 0; 1; 0
33.596396; -8.5; 5.78; 1.5707963; 0; 1; 0
33.796343; -8.5; 5.865; 1.5707963; 0; 1; 0
33.99629; -8.5; 5.95; 1.5707963; 0; 1; 0
34.196237; -8.5; 6.035; 1.5707963; 0; 1; 0
34.396184; -8.5; 6.12; 1.5707963; 0; 1; 0
34.596131; -8.5; 6.205; 1.5707963; 0; 1; 0
34.796078; -8.5; 6.29; 1.5707963; 0; 1; 0
34.996025; -8.5; 6.375000000000001; 1.5707963; 0; 1; 0
35.195972; -8.5; 6.460000000000001; 1.5707963; 0; 1; 0
35.395919; -8.5; 6.545000000000001; 1.5707963; 0; 1; 0
35.595866; -8.5; 6.630000000000001; 1.5707963; 0; 1; 0
35.795813; -8.5; 6.715000000000001; 1.5707963; 0; 1; 0
35.99576; -8.5; 6.800000000000001; 1.5707963; 0; 1; 0
36.195707; -8.5; 6.885000000000001; 1.5707963; 0; 1; 0
36.395654; -8.5; 6.970000000000001; 1.5707963; 0; 1; 0
36.595601; -8.5; 7.055000000000001; 1.5707963; 0; 1; 0
36.795548; -8.5; 7.140000000000001; 1.5707963; 0; 1; 0
36.995495; -8.5; 7.2250000000000005; 1.5707963; 0; 1; 0
37.195442; -8.5; 7.3100000000000005; 1.5707963; 0; 1; 0
37.395389; -8.5; 7.3950000000000005; 1.5707963; 0; 1; 0
37.595336; -8.5; 7.48; 1.5707963; 0; 1; 0
37.795283; -8.5; 7.565; 1.5707963; 0; 1; 0
37.99523; -8.5; 7.65; 1.5707963; 0; 1; 0
38.195177; -8.5; 7.735; 1.5707963; 0; 1; 0
38.395124; -8.5; 7.82; 1.5707963; 0; 1; 0
38.595071; -8.5; 7.905; 1.5707963; 0; 1; 0
38.795018; -8.5; 7.99; 1.5707963; 0; 1; 0
38.994965; -8.5; 8.075000000000001; 1.5707963; 0; 1; 0
39.194912; -8.5; 8.16; 1.5707963; 0; 1; 0
39.394859; -8.5; 8.245000000000001; 1.5707963; 0; 1; 0
39.594806; -8.5; 8.33; 1.5707963; 0; 1; 0
39.794753; -8.5; 8.415000000000001; 1.5707963; 0; 1; 0
39.9947; -8.5; 8.5; 1.5707963; 0; 1; 0
40.0; -8.0; 9.0; 0; 0; 1; 0
40.199947; -7.92; 9.0; 0; 0; 1; 0
40.399894; -7.84; 9.0; 0; 0; 1; 0
40.599841; -7.76; 9.0; 0; 0; 1; 0
40.799788; -7.68; 9.0; 0; 0; 1; 0
40.999735; -7.6; 9.0; 0; 0; 1; 0
41.199682; -7.52; 9.0; 0; 0; 1; 0
41.399629; -7.4399999999999995; 9.0; 0; 0; 1; 0
41.599576; -7.36; 9.0; 0; 0; 1; 0
41.799523; -7.28; 9.0; 0; 0; 1; 0
41.99947; -7.2; 9.0; 0; 0; 1; 0
42.199417; -7.12; 9.0; 0; 0; 1; 0
42.399364; -7.04; 9.0; 0; 0; 1; 0
42.599311; -6.96; 9.0; 0; 0; 1; 0
42.799258; -6.88; 9.0; 0; 0; 1; 0
42.999205; -6.8; 9.0; 0; 0; 1; 0
